user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn
52,2022-06-19,Basic,199,18.4,8,1,44,27,Yes
53,2023-05-15,Basic,199,11.4,3,3,33,70,Yes
54,2023-12-15,Standard,399,9.1,9,2,26,39,Yes
55,2023-04-21,Standard,399,13.2,6,0,34,3,No
56,2024-04-03,Basic,199,12.7,0,4,22,6,Yes
57,2022-03-21,Basic,199,11.1,4,3,47,19,Yes
58,2023-10-18,Standard,399,10.1,6,0,28,75,No
59,2024-08-29,Premium,699,8.5,9,3,18,36,Yes
60,2022-02-10,Basic,199,6.3,3,2,49,63,No
61,2024-01-02,Premium,699,6.8,2,4,26,6,Yes
62,2024-04-03,Standard,399,8.0,1,2,22,5,No
63,2022-08-12,Premium,699,6.9,0,4,42,33,Yes
64,2023-06-02,Basic,199,17.2,0,4,33,5,Yes
65,2022-03-24,Premium,699,8.4,0,2,47,45,Yes
66,2022-02-03,Standard,399,2.0,7,1,49,34,Yes
67,2022-08-24,Premium,699,15.1,8,0,42,47,Yes
68,2024-02-03,Premium,699,10.8,1,1,24,82,No
69,2022-09-06,Premium,699,17.5,6,1,42,51,No
70,2024-02-24,Premium,699,10.4,3,4,24,34,Yes
71,2022-04-21,Standard,399,4.5,7,0,46,67,No
72,2024-12-10,Standard,399,12.4,2,4,14,5,Yes
73,2023-10-07,Standard,399,2.8,1,0,28,78,No
74,2022-02-16,Basic,199,9.0,8,2,48,63,Yes
75,2023-12-20,Basic,199,14.0,9,3,26,87,Yes
76,2024-06-01,Basic,199,10.3,6,2,20,23,No
77,2024-03-16,Basic,199,2.0,8,4,23,28,Yes
78,2024-03-22,Basic,199,11.0,8,0,23,13,Yes
79,2022-04-21,Standard,399,17.8,7,0,46,83,No
80,2022-11-11,Basic,199,12.8,5,4,39,33,Yes
81,2024-04-22,Standard,399,10.9,3,0,22,51,No
82,2024-11-15,Standard,399,14.5,2,4,15,44,Yes
83,2023-06-16,Basic,199,7.7,9,4,32,11,Yes
84,2022-01-10,Basic,199,8.5,4,1,50,44,No
85,2022-11-25,Basic,199,12.6,7,2,39,49,Yes
86,2023-08-11,Premium,699,17.2,2,2,30,1,No
87,2024-05-22,Premium,699,13.8,2,4,21,37,Yes
88,2024-12-01,Basic,199,13.2,8,1,14,40,No
89,2024-11-12,Standard,399,20.0,0,0,15,66,No
90,2022-07-17,Standard,399,2.1,5,2,43,7,No
91,2023-04-23,Basic,199,10.9,5,0,34,27,Yes
92,2023-06-01,Standard,399,11.2,9,0,33,38,Yes
93,2022-01-15,Standard,399,7.8,3,3,49,45,Yes
94,2022-03-10,Standard,399,11.9,3,2,48,74,Yes
95,2022-12-12,Standard,399,10.9,8,0,38,60,Yes
96,2022-05-07,Premium,699,23.2,9,0,46,31,Yes
97,2024-03-24,Premium,699,6.9,3,0,23,1,No
98,2023-10-23,Standard,399,7.5,8,4,28,9,Yes
99,2022-09-01,Basic,199,14.1,1,1,42,34,No
100,2024-02-02,Basic,199,10.4,2,0,24,71,Yes
101,2022-10-12,Basic,199,19.2,1,4,40,49,Yes
102,2023-07-15,Basic,199,15.6,6,0,31,13,No
103,2022-02-01,Premium,699,21.3,7,2,49,18,Yes
104,2024-08-04,Standard,399,7.1,3,0,18,8,No
105,2022-06-11,Basic,199,8.2,1,4,44,8,Yes
106,2022-11-24,Standard,399,9.7,5,0,39,67,No
107,2022-04-06,Standard,399,10.1,3,3,47,37,Yes
108,2022-11-26,Basic,199,10.3,6,0,39,23,Yes
109,2023-12-01,Premium,699,12.6,4,3,27,11,Yes
110,2022-09-18,Basic,199,11.3,4,0,41,53,No
111,2023-08-16,Premium,699,9.8,6,0,30,81,No
112,2023-05-09,Standard,399,15.5,3,1,33,58,No
113,2024-04-17,Standard,399,1.9,0,4,22,25,Yes
114,2022-01-27,Basic,199,12.8,8,2,49,40,Yes
115,2024-07-10,Standard,399,17.0,1,3,19,54,Yes
116,2022-05-29,Basic,199,7.5,7,2,45,36,Yes
117,2023-09-15,Standard,399,1.2,3,2,29,81,No
118,2022-06-03,Basic,199,9.4,1,4,45,73,Yes
119,2022-02-11,Standard,399,6.0,1,4,48,44,Yes
120,2024-03-27,Basic,199,9.6,0,1,23,57,Yes
121,2022-08-04,Standard,399,13.5,0,4,43,80,Yes
122,2023-05-04,Basic,199,16.4,9,1,34,16,Yes
123,2022-12-01,Premium,699,4.6,7,1,39,59,No
124,2023-02-06,Premium,699,15.3,9,0,36,14,Yes
125,2024-03-15,Basic,199,0.5,6,3,23,39,Yes
126,2023-12-23,Basic,199,16.5,0,4,26,42,Yes
127,2022-09-08,Premium,699,10.4,2,2,42,39,Yes
128,2022-11-14,Basic,199,15.3,4,3,39,57,No
129,2022-12-06,Basic,199,5.6,2,4,39,14,Yes
130,2023-03-08,Standard,399,14.0,0,4,36,79,Yes
131,2022-03-02,Basic,199,12.8,6,2,48,62,Yes
132,2024-06-03,Premium,699,2.3,2,4,20,74,Yes
133,2022-02-23,Premium,699,8.1,1,1,48,62,No
134,2024-02-20,Standard,399,4.1,7,4,24,89,Yes
135,2023-09-27,Premium,699,12.7,4,2,29,59,No
136,2024-07-02,Basic,199,15.4,5,4,19,60,No
137,2022-08-12,Basic,199,14.5,2,1,42,40,No
138,2022-12-02,Premium,699,10.2,7,3,39,59,No
139,2022-12-22,Standard,399,16.9,6,4,38,45,Yes
140,2022-03-23,Basic,199,13.2,3,1,47,78,No
141,2024-12-05,Basic,199,13.3,7,1,14,60,Yes
142,2023-08-09,Basic,199,0.5,8,1,30,63,Yes
143,2024-07-04,Premium,699,7.8,0,3,19,22,Yes
144,2022-07-29,Basic,199,11.0,1,4,43,76,Yes
145,2024-06-25,Basic,199,7.8,2,2,20,58,Yes
146,2023-05-31,Standard,399,15.6,0,2,33,13,No
147,2024-06-02,Premium,699,12.3,3,2,20,27,No
148,2024-09-15,Basic,199,12.9,4,4,17,59,Yes
149,2023-07-24,Basic,199,8.8,2,0,31,25,No
150,2024-12-19,Standard,399,11.8,8,0,14,53,Yes
151,2022-12-15,Basic,199,11.0,8,0,38,84,Yes
152,2024-10-10,Basic,199,13.5,4,4,16,2,Yes
153,2022-10-01,Basic,199,5.3,5,2,41,45,No
154,2024-02-18,Premium,699,18.1,5,2,24,88,Yes
155,2023-08-15,Standard,399,2.6,0,1,30,40,No
156,2024-03-11,Standard,399,9.6,8,4,23,30,Yes
157,2024-05-20,Basic,199,13.2,1,1,21,44,No
158,2022-01-09,Standard,399,5.1,5,0,50,32,No
159,2022-04-21,Premium,699,10.6,9,1,46,3,Yes
160,2024-11-01,Standard,399,14.8,6,3,15,13,Yes
161,2023-11-16,Standard,399,12.6,6,2,27,44,No
162,2022-11-08,Basic,199,7.1,8,2,40,3,Yes
163,2022-12-19,Standard,399,8.3,4,1,38,61,No
164,2023-06-16,Standard,399,11.8,7,1,32,49,Yes
165,2023-08-01,Basic,199,16.6,6,1,31,58,Yes
166,2022-01-21,Standard,399,12.2,0,2,49,26,No
167,2024-07-28,Basic,199,11.2,4,4,19,38,Yes
168,2023-05-19,Standard,399,0.5,6,0,33,84,Yes
169,2022-01-28,Basic,199,14.0,0,3,49,56,Yes
170,2023-09-22,Premium,699,3.8,9,4,29,10,Yes
171,2024-08-29,Standard,399,5.8,3,3,18,37,Yes
172,2022-06-05,Standard,399,12.6,5,3,45,61,Yes
173,2022-10-09,Basic,199,13.7,4,0,40,51,Yes
174,2022-05-06,Premium,699,9.6,1,0,46,50,No
175,2023-03-03,Basic,199,20.4,3,4,36,52,Yes
176,2022-05-09,Premium,699,9.3,6,4,46,5,Yes
177,2023-03-03,Premium,699,9.8,0,1,36,8,No
178,2022-12-11,Basic,199,20.0,3,0,38,1,No
179,2024-10-06,Standard,399,1.9,0,0,16,89,No
180,2023-05-04,Standard,399,14.7,3,1,34,4,No
181,2024-09-27,Premium,699,13.9,0,0,17,85,No
182,2024-07-05,Basic,199,8.0,2,3,19,89,Yes
183,2024-05-16,Basic,199,12.3,1,0,21,3,No
184,2023-09-21,Premium,699,4.8,9,0,29,12,Yes
185,2022-02-12,Standard,399,13.4,1,3,48,43,Yes
186,2023-02-03,Standard,399,12.9,8,3,37,75,Yes
187,2024-08-21,Basic,199,5.6,2,1,18,36,No
188,2022-03-31,Premium,699,5.1,8,2,47,7,Yes
189,2022-11-08,Standard,399,7.2,7,3,40,84,Yes
190,2023-07-13,Basic,199,12.6,6,4,31,86,Yes
191,2023-11-13,Basic,199,8.6,9,2,27,37,No
192,2024-05-06,Standard,399,13.8,1,2,21,36,No
193,2023-04-28,Basic,199,9.6,4,0,34,22,No
194,2023-10-12,Standard,399,15.5,8,4,28,57,Yes
195,2023-09-29,Standard,399,14.9,6,3,29,46,Yes
196,2024-10-02,Basic,199,15.5,3,4,16,36,Yes
197,2023-12-09,Basic,199,16.2,4,3,26,27,Yes
198,2023-01-16,Standard,399,8.9,9,2,37,86,Yes
199,2022-12-20,Standard,399,0.5,5,3,38,58,Yes
200,2022-07-27,Basic,199,6.9,9,0,43,55,Yes
201,2022-08-25,Premium,699,6.2,4,3,42,70,No
202,2023-04-05,Standard,399,13.9,5,3,35,14,Yes
203,2024-02-09,Basic,199,10.4,2,3,24,62,Yes
204,2022-05-23,Premium,699,13.5,5,3,45,12,Yes
205,2022-05-14,Basic,199,8.2,8,4,45,35,Yes
206,2022-09-23,Premium,699,7.7,8,1,41,25,Yes
207,2022-12-02,Basic,199,6.7,2,2,39,41,No
208,2024-07-05,Basic,199,12.6,1,3,19,25,Yes
209,2022-04-02,Basic,199,10.3,1,4,47,60,Yes
210,2023-10-25,Standard,399,0.5,2,2,28,5,No
211,2023-11-21,Basic,199,10.7,8,2,27,9,Yes
212,2023-02-04,Basic,199,8.3,0,3,37,4,Yes
213,2024-03-30,Basic,199,14.8,1,4,23,63,Yes
214,2023-03-31,Standard,399,12.1,4,4,35,86,Yes
215,2024-01-12,Standard,399,14.3,9,4,25,65,Yes
216,2022-06-22,Basic,199,6.0,3,0,44,60,No
217,2023-09-21,Basic,199,4.0,3,3,29,82,Yes
218,2022-01-21,Standard,399,9.8,9,4,49,64,Yes
219,2022-01-29,Standard,399,11.6,7,4,49,28,No
220,2022-03-20,Standard,399,9.2,0,3,47,87,Yes
221,2022-04-11,Standard,399,14.0,2,2,47,24,No
222,2023-01-01,Basic,199,16.1,3,2,38,52,No
223,2024-02-12,Basic,199,15.9,9,3,24,81,Yes
224,2024-08-03,Basic,199,13.6,2,0,18,36,No
225,2023-01-13,Standard,399,14.8,9,4,37,36,Yes
226,2022-12-17,Standard,399,9.7,1,2,38,10,No
227,2023-05-03,Basic,199,1.3,8,1,34,22,Yes
228,2022-04-23,Standard,399,0.5,7,4,46,32,Yes
229,2022-05-29,Standard,399,8.8,7,3,45,75,Yes
230,2024-02-09,Standard,399,18.0,4,3,24,27,Yes
231,2022-10-05,Basic,199,21.5,7,2,41,63,Yes
232,2022-05-16,Premium,699,15.4,9,1,45,16,No
233,2024-05-23,Basic,199,3.5,4,2,21,27,No
234,2024-07-20,Standard,399,15.4,5,1,19,58,No
235,2024-11-09,Basic,199,5.6,6,2,15,58,No
236,2023-06-20,Standard,399,7.8,5,2,32,26,No
237,2023-02-09,Standard,399,7.9,0,3,36,14,Yes
238,2024-02-05,Standard,399,4.1,7,1,24,30,No
239,2022-07-30,Standard,399,9.1,9,4,43,31,Yes
240,2022-04-23,Basic,199,7.7,6,0,46,18,Yes
241,2024-08-28,Premium,699,5.5,0,0,18,70,No
242,2022-03-19,Basic,199,15.3,6,0,47,16,No
243,2022-09-11,Basic,199,18.4,2,4,41,19,No
244,2022-02-18,Basic,199,13.7,4,1,48,64,Yes
245,2024-01-13,Basic,199,8.6,3,0,25,36,No
246,2024-06-21,Basic,199,5.0,2,3,20,14,Yes
247,2022-07-24,Standard,399,6.4,3,2,43,84,No
248,2023-11-21,Basic,199,7.6,0,2,27,7,Yes
249,2024-08-01,Standard,399,2.2,8,4,18,58,Yes
250,2022-11-01,Basic,199,7.4,2,2,40,89,No
251,2022-06-10,Basic,199,7.9,9,0,45,71,No
252,2022-01-28,Basic,199,7.3,9,2,49,41,Yes
253,2023-09-02,Basic,199,3.7,1,0,30,66,No
254,2023-08-11,Standard,399,9.7,7,3,30,59,Yes
255,2023-01-26,Basic,199,10.6,3,3,37,86,Yes
256,2024-02-21,Basic,199,15.3,8,1,24,28,Yes
257,2024-12-03,Standard,399,9.1,5,3,14,23,Yes
258,2023-05-19,Premium,699,26.0,9,3,33,41,Yes
259,2022-08-26,Basic,199,3.9,3,3,42,2,No
260,2022-02-09,Basic,199,10.6,5,0,49,1,No
261,2023-11-19,Standard,399,9.0,5,2,27,32,No
262,2023-07-29,Basic,199,4.2,6,4,31,21,No
263,2022-09-04,Premium,699,11.9,2,0,42,68,No
264,2023-10-07,Basic,199,6.1,2,4,28,9,Yes
265,2024-07-31,Basic,199,3.4,7,1,18,86,Yes
266,2022-07-09,Standard,399,15.4,0,4,44,35,Yes
267,2024-06-14,Standard,399,15.0,2,0,20,84,Yes
268,2022-09-05,Basic,199,7.8,6,0,42,20,No
269,2022-07-10,Basic,199,14.3,5,4,44,57,No
270,2023-07-05,Premium,699,8.1,8,2,32,77,No
271,2024-06-06,Basic,199,3.4,4,2,20,19,Yes
272,2022-10-08,Standard,399,7.1,7,1,41,87,No
273,2022-10-11,Premium,699,5.3,6,0,40,19,Yes
274,2023-11-07,Standard,399,15.4,7,0,27,30,Yes
275,2024-03-31,Premium,699,4.7,8,3,23,68,Yes
276,2023-11-26,Basic,199,4.7,0,3,27,35,Yes
277,2024-10-09,Standard,399,14.9,7,0,16,8,Yes
278,2023-07-13,Standard,399,12.5,8,2,31,26,Yes
279,2023-05-20,Standard,399,4.9,6,3,33,28,No
280,2022-12-13,Basic,199,13.9,6,0,38,1,No
281,2023-07-27,Premium,699,6.9,7,2,31,65,Yes
282,2024-01-19,Standard,399,9.8,3,0,25,13,No
283,2023-07-09,Basic,199,7.6,6,4,31,49,Yes
284,2024-03-27,Basic,199,13.9,8,0,23,88,Yes
285,2024-02-18,Basic,199,9.7,0,3,24,19,Yes
286,2023-08-25,Standard,399,7.0,6,3,30,69,Yes
287,2023-12-28,Basic,199,14.1,0,3,26,82,Yes
288,2022-11-28,Premium,699,4.0,9,2,39,15,Yes
289,2024-06-28,Standard,399,13.5,8,3,20,3,Yes
290,2022-10-23,Basic,199,11.2,1,0,40,41,No
291,2024-09-12,Standard,399,9.1,7,0,17,38,Yes
292,2023-01-10,Standard,399,2.6,8,4,37,30,No
293,2024-04-26,Premium,699,8.2,9,2,22,57,Yes
294,2024-07-21,Standard,399,11.2,6,3,19,37,Yes
295,2024-07-02,Basic,199,2.9,0,0,19,38,No
296,2024-04-12,Premium,699,16.1,3,0,22,50,Yes
297,2022-03-16,Standard,399,1.2,5,2,47,15,Yes
298,2022-06-19,Premium,699,2.7,4,2,44,87,No
299,2024-03-07,Standard,399,2.3,5,3,23,69,Yes
300,2022-12-09,Premium,699,2.6,2,2,38,42,No
301,2022-12-07,Basic,199,3.7,6,3,39,1,Yes
302,2022-05-19,Standard,399,5.7,3,2,45,17,No
303,2024-02-01,Basic,199,18.6,7,3,24,5,Yes
304,2022-09-24,Premium,699,8.6,5,4,41,47,Yes
305,2024-09-03,Basic,199,8.2,9,3,17,70,No
306,2024-05-13,Standard,399,19.8,5,1,21,75,No
307,2023-12-16,Basic,199,8.9,0,2,26,53,No
308,2024-02-11,Premium,699,13.4,6,4,24,35,Yes
309,2024-05-30,Standard,399,4.9,5,2,21,59,No
310,2023-12-21,Basic,199,6.0,1,4,26,86,Yes
311,2022-07-13,Basic,199,16.1,8,2,43,19,No
312,2022-01-25,Basic,199,5.7,4,0,49,15,No
313,2022-07-20,Premium,699,12.9,1,0,43,34,No
314,2024-06-28,Standard,399,12.2,1,4,20,61,Yes
315,2022-06-11,Basic,199,13.3,1,1,44,13,Yes
316,2024-06-22,Premium,699,14.7,6,2,20,53,No
317,2024-02-20,Basic,199,1.7,8,0,24,86,No
318,2023-10-22,Standard,399,16.0,1,1,28,28,No
319,2024-11-19,Basic,199,4.2,6,1,15,12,No
320,2022-12-20,Basic,199,10.3,8,3,38,49,Yes
321,2022-10-21,Basic,199,10.9,7,0,40,6,Yes
322,2023-07-31,Basic,199,14.5,2,0,31,27,No
323,2024-03-29,Premium,699,14.3,7,3,23,51,Yes
324,2023-09-24,Basic,199,9.3,6,1,29,47,No
325,2024-07-17,Standard,399,6.7,3,0,19,73,No
326,2024-03-20,Standard,399,8.0,0,4,23,48,Yes
327,2022-08-15,Basic,199,7.5,8,4,42,82,Yes
328,2024-08-09,Basic,199,9.3,5,0,18,87,No
329,2022-10-01,Basic,199,10.7,5,0,41,21,No
330,2022-04-28,Basic,199,8.3,5,1,46,53,No
331,2024-05-17,Basic,199,5.7,5,3,21,24,Yes
332,2022-04-29,Basic,199,16.0,0,3,46,58,Yes
333,2023-10-27,Basic,199,10.5,3,0,28,12,No
334,2023-09-15,Standard,399,17.7,2,0,29,32,No
335,2024-12-04,Premium,699,2.0,2,4,14,29,Yes
336,2023-05-31,Standard,399,5.9,9,0,33,5,Yes
337,2022-10-05,Standard,399,3.7,6,1,41,57,No
338,2022-09-24,Standard,399,6.9,4,3,41,28,No
339,2023-07-13,Basic,199,10.8,9,0,31,5,Yes
340,2023-02-26,Standard,399,8.1,1,4,36,21,No
341,2023-12-15,Premium,699,9.1,2,4,26,8,Yes
342,2022-11-29,Premium,699,3.4,1,2,39,28,Yes
343,2023-07-14,Standard,399,12.7,8,3,31,11,Yes
344,2022-06-03,Basic,199,9.4,5,3,45,29,No
345,2023-03-26,Standard,399,9.5,9,3,35,65,No
346,2022-04-03,Premium,699,12.0,5,3,47,9,Yes
347,2022-06-20,Standard,399,10.3,5,4,44,27,Yes
348,2023-10-29,Basic,199,3.4,1,2,28,1,No
349,2024-09-06,Basic,199,9.6,9,0,17,18,Yes
350,2024-08-18,Standard,399,6.6,1,0,18,58,No
351,2022-11-11,Basic,199,8.0,3,4,39,11,Yes
352,2023-12-01,Premium,699,13.4,6,1,27,40,No
353,2022-03-25,Premium,699,2.7,7,0,47,19,Yes
354,2022-09-28,Basic,199,9.9,2,4,41,1,No
355,2024-09-20,Basic,199,6.7,3,2,17,34,No
356,2022-10-06,Basic,199,16.1,4,4,41,62,Yes
357,2023-11-11,Standard,399,6.3,3,2,27,51,Yes
358,2023-02-24,Basic,199,4.9,8,4,36,13,Yes
359,2022-07-25,Standard,399,8.2,5,3,43,39,Yes
360,2022-09-29,Basic,199,5.9,6,1,41,74,No
361,2024-09-03,Standard,399,13.3,3,0,17,21,No
362,2023-07-17,Standard,399,2.5,3,0,31,88,Yes
363,2024-10-21,Basic,199,7.9,1,2,16,41,No
364,2022-09-02,Basic,199,14.7,2,0,42,63,No
365,2022-07-11,Standard,399,0.5,3,3,44,18,Yes
366,2023-11-05,Premium,699,9.6,6,3,27,88,Yes
367,2022-12-05,Premium,699,1.1,5,4,39,64,Yes
368,2023-03-28,Premium,699,6.7,6,1,35,22,No
369,2023-01-10,Basic,199,16.1,2,2,37,82,Yes
370,2022-11-27,Basic,199,11.3,4,2,39,12,No
371,2024-04-25,Standard,399,2.8,0,1,22,19,Yes
372,2023-03-28,Basic,199,13.0,0,4,35,84,Yes
373,2024-01-30,Standard,399,9.9,9,0,25,66,Yes
374,2023-03-01,Standard,399,8.7,0,2,36,49,No
375,2022-07-27,Basic,199,14.0,5,1,43,43,Yes
376,2022-01-20,Premium,699,20.6,8,3,49,19,No
377,2022-03-14,Premium,699,14.1,8,2,47,59,No
378,2022-09-23,Basic,199,17.7,4,2,41,22,Yes
379,2023-02-18,Standard,399,5.7,0,4,36,68,No
380,2022-02-15,Basic,199,18.5,9,0,48,74,Yes
381,2023-01-02,Premium,699,7.8,8,2,38,26,Yes
382,2022-07-31,Standard,399,2.0,7,0,43,23,Yes
383,2022-03-10,Basic,199,5.1,9,0,48,75,Yes
384,2023-10-01,Premium,699,0.6,2,3,29,59,Yes
385,2024-10-11,Standard,399,10.8,2,1,16,81,No
386,2024-03-06,Standard,399,18.6,0,4,23,9,Yes
387,2022-05-03,Premium,699,7.0,3,1,46,37,No
388,2023-05-27,Standard,399,18.6,9,0,33,77,Yes
389,2024-09-14,Standard,399,11.3,5,1,17,1,Yes
390,2023-12-15,Standard,399,8.1,4,1,26,71,No
391,2024-08-21,Standard,399,5.0,7,1,18,23,Yes
392,2023-06-28,Premium,699,4.4,6,4,32,36,Yes
393,2024-05-30,Basic,199,8.9,2,4,21,35,Yes
394,2022-03-17,Premium,699,5.7,6,2,47,30,No
395,2023-10-15,Basic,199,6.2,6,4,28,17,Yes
396,2023-10-24,Premium,699,17.4,5,0,28,30,Yes
397,2024-08-31,Premium,699,11.6,2,3,17,34,Yes
398,2024-01-28,Basic,199,5.6,2,3,25,24,Yes
399,2022-01-19,Standard,399,5.8,9,0,49,29,No
400,2022-08-27,Standard,399,18.6,0,4,42,64,No
401,2022-11-01,Basic,199,15.5,6,4,40,65,Yes
402,2023-02-20,Standard,399,13.6,9,3,36,16,Yes
403,2023-05-20,Premium,699,8.7,2,0,33,71,Yes
404,2023-03-05,Premium,699,11.7,2,2,36,53,No
405,2023-01-19,Basic,199,8.6,8,3,37,79,Yes
406,2023-07-11,Basic,199,14.7,5,3,31,64,Yes
407,2022-07-25,Basic,199,6.9,3,2,43,60,No
408,2024-06-16,Standard,399,9.1,0,0,20,31,No
409,2022-09-07,Standard,399,16.0,6,1,42,81,Yes
410,2024-06-13,Basic,199,23.8,5,4,20,58,Yes
411,2024-03-14,Standard,399,10.7,9,3,23,42,Yes
412,2024-11-29,Standard,399,15.8,1,3,14,10,Yes
413,2023-01-31,Standard,399,0.9,0,0,37,67,No
414,2023-11-16,Basic,199,0.5,4,1,27,13,No
415,2024-09-01,Basic,199,9.2,6,3,17,84,Yes
416,2024-12-29,Basic,199,16.5,4,2,13,79,Yes
417,2024-06-20,Standard,399,3.2,7,4,20,71,No
418,2024-06-11,Basic,199,8.4,5,2,20,20,No
419,2023-07-27,Premium,699,4.9,3,2,31,59,No
420,2023-05-23,Basic,199,8.8,4,2,33,86,No
421,2024-09-18,Standard,399,6.1,9,2,17,3,Yes
422,2023-01-18,Standard,399,8.0,2,2,37,66,No
423,2022-07-30,Basic,199,8.4,1,3,43,69,Yes
424,2022-06-19,Standard,399,14.8,3,0,44,14,No
425,2023-11-25,Standard,399,12.8,4,3,27,5,No
426,2024-07-06,Basic,199,9.2,2,0,19,64,No
427,2023-02-10,Basic,199,19.9,1,3,36,50,Yes
428,2023-06-16,Premium,699,7.3,5,2,32,28,No
429,2024-03-15,Basic,199,12.2,5,1,23,75,No
430,2024-10-28,Basic,199,15.2,7,1,16,30,Yes
431,2023-06-03,Standard,399,12.2,7,2,33,53,Yes
432,2023-04-10,Basic,199,10.0,6,0,34,8,No
433,2023-01-15,Basic,199,11.7,2,2,37,50,Yes
434,2022-02-19,Standard,399,11.5,5,1,48,32,Yes
435,2023-08-07,Premium,699,1.5,7,2,30,64,Yes
436,2024-12-08,Basic,199,7.7,3,4,14,13,Yes
437,2022-06-15,Basic,199,9.8,6,2,44,46,Yes
438,2022-08-26,Standard,399,5.8,7,2,42,44,Yes
439,2024-09-17,Standard,399,17.7,4,1,17,9,No
440,2024-08-29,Standard,399,6.3,7,0,18,15,Yes
441,2024-11-21,Standard,399,8.6,4,1,15,77,No
442,2023-03-20,Standard,399,14.2,6,0,35,48,No
443,2022-12-11,Standard,399,14.6,0,0,38,6,No
444,2022-11-06,Standard,399,10.2,3,3,40,39,Yes
445,2022-04-30,Basic,199,7.1,2,4,46,80,No
446,2022-07-04,Standard,399,5.8,5,2,44,10,Yes
447,2022-12-15,Standard,399,7.3,8,0,38,31,Yes
448,2023-06-09,Basic,199,12.4,9,1,32,49,Yes
449,2024-06-29,Standard,399,6.8,7,1,20,23,Yes
450,2022-06-05,Premium,699,5.4,8,4,45,16,Yes
451,2022-01-13,Standard,399,7.4,1,4,49,43,Yes
452,2023-09-20,Standard,399,16.9,8,3,29,74,Yes
453,2022-11-04,Basic,199,13.2,8,3,40,78,Yes
454,2022-04-17,Standard,399,13.8,7,1,46,62,Yes
455,2023-05-21,Basic,199,13.4,6,1,33,37,No
456,2022-08-15,Basic,199,19.2,2,2,42,88,No
457,2023-10-30,Premium,699,18.5,7,3,28,66,Yes
458,2022-06-26,Basic,199,15.4,3,1,44,13,No
459,2022-03-24,Standard,399,4.6,7,2,47,28,No
